t1,t2,t3,d1,d2,d3,PN,Qeff,DT,BW
1153,956,859,3.63e+18,854000000000000,1.18e+17,-168.013775455876,0.407950803503621,59.6158276745531,16.9833783441577
322,818,359,9.16e+18,508000000000000,3.25e+18,-170.125618567088,0.364170559007809,37.270648703164,21.3163206564447
195,663,939,1.51e+18,494000000000000,2.08e+18,-168.816185961386,0.418708007345173,40.0109690001022,20.619379913155
1472,942,865,2.86e+17,650000000000000,9.81e+18,-168.436695807494,0.41394931509511,55.9413428703444,15.4803275002927
1472,942,865,2.86e+17,650000000000000,9.81e+18,-168.436695807494,0.41394931509511,55.9413428703444,15.4803275002927
736,702,945,7.34e+17,3.72e+15,1.92e+17,-169.088785979474,0.41845144602046,42.3563629972524,18.7269302636738
1119,927,849,5.8e+17,1.14e+15,5.28e+18,-169.062642032343,0.420509136920344,48.5639448943129,17.4714008127689
102,682,548,4.87e+18,115000000000000,2.43e+17,-169.20826810213,0.381236801271345,37.270648703164,21.5244294679061
323,802,356,1.1e+18,1.42e+15,5.21e+18,-169.932200585144,0.352342363676518,37.270648703164,21.150054202027
328,663,938,1.25e+18,494000000000000,2.08e+18,-168.832219766738,0.415197571831815,40.0109690001022,20.0650901284416
1472,942,865,2.86e+17,650000000000000,9.81e+18,-168.436695807494,0.41394931509511,55.9413428703444,15.4803275002927
322,818,359,9.16e+18,508000000000000,3.25e+18,-170.125618567088,0.364170559007809,37.270648703164,21.3163206564447
648,855,330,1.18e+18,3.11e+15,1.84e+17,-170.182818720004,0.335849388567404,39.4752575007396,20.5725351780397
1119,927,849,5.8e+17,1.14e+15,5.28e+18,-169.062642032343,0.420509136920344,48.5639448943129,17.4714008127689
1023,937,966,4.9e+18,142000000000000,1.26e+18,-168.086436965909,0.432616076302034,55.9413428703444,17.0063508785982
206,763,820,4.02e+18,973000000000000,5.91e+18,-169.72654844903,0.436053541396132,37.270648703164,21.3874052372266
100,773,736,1e+19,1.42e+15,5.97e+18,-169.648603678263,0.433469183673201,37.270648703164,21.4612145736801
280,914,210,2.82e+18,1.49e+15,3.24e+17,-170.806429493168,0.340592342046129,34.6655900566222,21.8004467211741
462,741,825,7.24e+18,300000000000000,1.54e+18,-169.232283441201,0.423617832629619,39.4752575007396,19.7464625692222
725,943,876,9.19e+18,1.29e+15,1e+19,-168.869785760243,0.445341356001064,49.0996563936755,18.3669928394714
801,987,721,2.83e+18,3.37e+15,2.54e+18,-169.415975217093,0.421808127792863,45.9196718972138,18.5489086301509
280,914,210,2.82e+18,1.49e+15,3.24e+17,-170.806429493168,0.340592342046129,34.6655900566222,21.8004467211741
100,1000,515,1e+19,1e+16,1e+17,-169.461495291575,0.446127724295483,40.0109690001022,18.7946382984553
800,1000,921,1e+19,392000000000000,1e+17,-168.907513715389,0.45160784466399,49.0996563936755,18.8492385912876
323,802,356,1.1e+18,896000000000000,1.13e+17,-170.627908216994,0.353706340238183,34.6655900566222,21.8818759833138
100,872,487,1e+19,6.48e+15,7.4e+17,-170.21558912447,0.415787905274138,34.6655900566222,21.5739374699975
899,976,954,3.42e+18,1e+16,3.65e+17,-168.388259397903,0.451666683127741,51.902405640116,15.9303444475871
100,1000,171,1.95e+18,171000000000000,4.74e+17,-170.767119686823,0.355129485561675,35.162059587837,21.7224414292574
195,750,865,1.51e+18,203000000000000,9.08e+17,-169.739054592773,0.434733070181611,37.270648703164,21.5479644348646
218,781,865,9.43e+18,650000000000000,5.04e+17,-170.053855589417,0.448185313139979,37.270648703164,21.648079611858
322,818,934,9.16e+18,508000000000000,3.25e+18,-170.12131834375,0.461223010545226,37.270648703164,21.2819209520623
274,827,803,8.31e+18,1.73e+15,1e+19,-170.153149762929,0.448096553530479,37.270648703164,21.3957571128164
223,827,888,1e+19,2.36e+15,6.82e+18,-170.141484499683,0.461212952488157,37.270648703164,21.4908880769124
233,1000,782,1e+19,1e+16,1.86e+17,-169.681114011974,0.481731419731493,40.0109690001022,18.870650539658
432,896,611,8.34e+17,372000000000000,7.2e+17,-170.554854295686,0.414797664228058,34.6655900566222,21.3144020910521
381,926,576,5.62e+18,1.49e+15,1e+19,-170.5419365009,0.421473383486952,34.6655900566222,21.212735076681
254,891,654,4.68e+18,3.08e+15,7.9e+18,-170.452837867086,0.436919052528415,34.6655900566222,21.5185982072707
354,1000,578,9.89e+18,2.45e+15,1e+19,-170.613721051325,0.435541501214605,34.6655900566222,20.9297320572533
100,1000,397,1e+19,646000000000000,3.12e+17,-170.825677822804,0.418305607634771,35.162059587837,21.7370435379993
519,893,975,1e+19,236000000000000,2.08e+17,-169.919096859886,0.468769868119141,40.0109690001022,20.4965075156501
112,801,818,1e+19,1.34e+15,1e+19,-169.851503766121,0.450377280617349,37.270648703164,21.5302231747309
223,827,888,1e+19,2.36e+15,6.82e+18,-170.141484499683,0.461212952488157,37.270648703164,21.4908880769124
262,914,541,5.71e+18,2.81e+15,1e+19,-170.531723172068,0.421274356774108,34.6655900566222,21.4863390868639
100,920,990,2.07e+18,7.28e+15,1e+17,-170.42472243052,0.493199713414805,34.6655900566222,21.5451224962177
100,823,1000,1e+19,1e+16,1e+17,-170.037990427859,0.476211441229043,34.6655900566222,21.5557802186574
248,1000,686,8.16e+18,2.5e+15,1e+19,-170.700150018859,0.462099582893703,34.6655900566222,21.2839273825169
101,920,987,2.08e+18,7.34e+15,1e+17,-170.42069420742,0.492900088325014,34.6655900566222,21.5370983671111
100,920,990,2.07e+18,7.29e+15,1e+17,-170.423785338739,0.493207955917217,34.6655900566222,21.5436868005196
353,1000,686,8.16e+18,2.5e+15,1e+19,-170.644478588676,0.454548662103251,34.6655900566222,20.9801652048617
100,921,990,2.07e+18,7.29e+15,1e+17,-170.424416173104,0.49344425460682,34.6655900566222,21.5387992498513
100,988,900,2.09e+18,7.8e+15,1.06e+17,-170.244258128621,0.498245589621354,37.270648703164,20.7470841554736
100,921,990,2.07e+18,7.28e+15,1e+17,-170.42536116049,0.49343597569861,34.6655900566222,21.5402549470825
101,921,988,2.07e+18,7.33e+15,1e+17,-170.422098153075,0.49322354244287,34.6655900566222,21.5333682424531
100,852,825,1e+19,1.2e+15,1.85e+17,-170.472892001862,0.462437493002475,34.6655900566222,21.8666535959232
100,934,975,2.09e+18,7.39e+15,1.01e+17,-170.417343134307,0.49496118078629,34.6655900566222,21.4498430141341
100,937,970,2.1e+18,7.5e+15,1e+17,-170.405641601909,0.495208652730689,34.6655900566222,21.4111650940288
100,921,990,2.07e+18,7.28e+15,1e+17,-170.42536116049,0.49343597569861,34.6655900566222,21.5402549470825
196,960,1000,1e+19,100000000000000,2.84e+17,-170.909799695996,0.501968861421673,34.6655900566222,21.7978848185464
100,974,1000,1e+19,100000000000000,1e+17,-170.994355464905,0.507810366390487,32.190447473706,21.8699866637939
131,1000,954,7.85e+18,206000000000000,1.62e+17,-170.954962779246,0.505681296833349,32.190447473706,21.7970309261342
100,999,1000,1e+19,100000000000000,1e+17,-171.015000046216,0.512542457182447,32.6869170049208,21.8544158240785
100,1000,1000,1e+19,3.98e+15,1.75e+17,-170.695543072929,0.513435742250427,34.6655900566222,21.5189295072541
100,986,1000,1e+19,100000000000000,1e+17,-171.005943489474,0.510106008078784,32.190447473706,21.8650073571461
100,934,986,1e+19,3.23e+15,1e+17,-170.76317543862,0.498287117099588,32.190447473706,21.8302042873553
412,994,942,1.28e+18,525000000000000,1.81e+18,-170.931210054927,0.484722800803047,34.6655900566222,21.4396868257553
100,1000,1000,1e+19,2.57e+15,1e+17,-170.863891952761,0.512854812848746,32.190447473706,21.7307752731416
100,934,986,1e+19,3.23e+15,1e+17,-170.76317543862,0.498287117099588,32.190447473706,21.8302042873553
100,984,1000,1e+19,100000000000000,1e+17,-171.004229602025,0.509726536326948,32.190447473706,21.8661370026226
100,1000,1000,1e+19,2.71e+15,1e+17,-170.854883220777,0.512894878479076,32.190447473706,21.720978204068
100,1000,1000,1e+19,1.34e+15,1e+17,-170.938538867899,0.512670692100345,32.190447473706,21.8009156062482
100,960,1000,1e+19,1.97e+15,1.12e+17,-170.846763933717,0.505007760341795,32.190447473706,21.8274586427093
