t1,t2,t3,ds1,ds2,ds3,df1,df2,df3,PhaseNoise,QuantEff,Bandwidth,MaxCurrent,DecayTime
500,1488,1000,2.43E+18,1.38E+15,2.28E+17,1.00E+18,4.15E+14,4.44E+18,-169.549471,0.549170946,15.69966593,0.000555447,43.84785047
183,997,1928,6.16E+18,1.05E+15,1.00E+17,9.32E+17,1.29E+14,2.51E+17,-171.1095417,0.594535273,21.79358173,0.000433813,32.19044747
516,970,1000,1.52E+18,1.49E+15,2.49E+17,1.77E+18,1.02E+15,1.66E+18,-170.855536,0.48099024,21.29180613,0.000454437,34.66559006
198,970,2000,6.01E+18,1.00E+15,1.00E+17,5.58E+17,1.28E+14,3.00E+17,-171.121662,0.595079142,21.82751468,0.000430555,32.19044747
500,1015,1000,1.58E+18,1.33E+15,2.47E+17,1.75E+18,1.06E+15,1.66E+18,-170.9404415,0.489408275,21.22234145,0.000462902,34.66559006
192,1023,1248,3.00E+18,1.72E+15,2.68E+17,1.12E+18,5E+14,1.12E+18,-170.9405929,0.543024474,21.5825897,0.000437674,34.66559006
500,1015,1000,1.58E+18,1.34E+15,2.46E+17,1.75E+18,1.06E+15,1.66E+18,-170.9404193,0.48940686,21.22220537,0.000462901,34.66559006
179,940,1126,3.00E+18,2.34E+15,1.46E+17,8.52E+17,6.24E+14,9.32E+17,-170.909524,0.516796299,21.82063993,0.000416784,34.66559006
178,998,1494,4.97E+18,1.67E+15,1.07E+17,4.21E+17,5.07E+14,1.46E+17,-171.0605694,0.566282825,21.7599741,0.00043366,32.19044747
194,996,2000,8.00E+18,1.35E+15,1.00E+17,4.29E+17,2.27E+14,1.90E+17,-171.1203991,0.602409028,21.77202579,0.00043703,32.19044747
198,970,2000,6.02E+18,1.00E+15,1.00E+17,5.57E+17,1.28E+14,3.00E+17,-171.121732,0.595092362,21.82750445,0.000430562,32.19044747
501,977,1000,1.57E+18,1.53E+15,2.48E+17,1.80E+18,1.05E+15,1.67E+18,-170.8859339,0.483183055,21.32099067,0.000454624,34.66559006
197,994,2000,8.00E+18,1.33E+15,1.00E+17,4.13E+17,2.18E+14,1.89E+17,-171.1245952,0.602224988,21.77595596,0.000437037,32.19044747
200,945,1996,6.86E+18,2.75E+15,1.00E+17,4.55E+17,2.87E+14,1.59E+17,-171.0388017,0.590323291,21.81441,0.00042544,32.19044747
199,962,2000,6.07E+18,1.00E+15,1.00E+17,5.76E+17,1.24E+14,2.99E+17,-171.1154919,0.593310481,21.83466772,0.000428791,32.19044747
144,909,1513,3.08E+18,2.13E+15,2.05E+17,7.98E+17,4.29E+14,1.23E+17,-170.7210172,0.542014959,21.80444264,0.000404316,34.66559006
149,925,1491,2.77E+18,2.25E+15,4.92E+17,5.39E+17,4.35E+14,2.37E+17,-170.6840173,0.545288533,21.71928396,0.000409688,34.66559006
198,970,2000,6.02E+18,1.00E+15,1.00E+17,5.57E+17,1.28E+14,3.00E+17,-171.121732,0.595092362,21.82750445,0.000430562,32.19044747
516,1082,980,1.82E+18,1.97E+15,2.13E+17,1.86E+18,1.11E+15,2.03E+18,-170.8856693,0.496023865,20.74156031,0.000478672,34.66559006
500,1015,1000,1.58E+18,1.34E+15,2.46E+17,1.75E+18,1.06E+15,1.66E+18,-170.9404193,0.48940686,21.22220537,0.000462901,34.66559006
215,938,1328,3.00E+18,3.29E+15,3.77E+17,2.64E+17,2.69E+14,1.65E+17,-170.8419476,0.541283528,21.69229267,0.000424547,34.66559006
198,996,2000,8.00E+18,1.30E+15,1.00E+17,4.18E+17,2.21E+14,1.89E+17,-171.1274276,0.602706672,21.77256717,0.000437638,32.19044747
